338;1F604
330;1F603
335;1F60A
336;263A
347;1F609
327;1F60D
32C;1F618
32D;1F61A
329;1F61C
32A;1F61D
32F;1F633
333;1F601
340;1F614
33E;1F60C
326;1F612
323;1F61E
33C;1F623
339;1F622
334;1F602
33A;1F62D
342;1F62A
345;1F625
325;1F630
331;1F605
344;1F613
321;1F629
346;1F62B
33B;1F628
341;1F631
320;1F620
33D;1F621
328;1F624
33F;1F616
332;1F606
32B;1F60B
32E;1F637
324;1F635
322;1F632
1B2;1F47F
343;1F60F
1A5;1F472
1A6;1F473
1A1;1F46E
1AA;1F477
1B5;1F482
1A9;1F476
19B;1F466
19C;1F467
19D;1F468
19E;1F469
1A7;1F474
1A8;1F475
1A4;1F471
1AF;1F47C
1AB;1F478
348;1F63A
349;1F638
34C;1F63B
34B;1F63D
34F;1F63C
350;1F640
34D;1F63F
34A;1F639
34E;1F63E
1AC;1F479
1AD;1F47A
354;1F648
356;1F649
355;1F64A
1B3;1F480
1B0;1F47D
4F4;1F4A9
4F6;1F525
B60;2728
B69;1F31F
B5F;1F4AB
B5A;1F4A5
B57;1F4A2
B5B;1F4A6
B5C;1F4A7
B59;1F4A4
B5D;1F4A8
191;1F442
190;1F440
192;1F443
194;1F445
193;1F444
B97;1F44D
BA0;1F44E
B9F;1F44C
B96;1F44A
B93;270A
B94;270C
B9D;1F44B
B95;270B
BA1;1F450
B99;1F446
B9A;1F447
B9C;1F449
B9B;1F448
358;1F64C
35B;1F64F
B98;261D
B9E;1F44F
B5E;1F4AA
7F0;1F6B6
7D9;1F3C3
1B6;1F483
1A0;1F46B
19F;1F46A
827;1F48F
829;1F491
1A2;1F46F
352;1F646
351;1F645
1B4;1F481
357;1F64B
197;1F486
198;1F487
196;1F485
1A3;1F470
35A;1F64E
359;1F64D
353;1F647
805;1F3A9
4D1;1F451
4D4;1F452
4CD;1F45F
4CC;1F45E
4D7;1F461
4D6;1F460
4D8;1F462
4CF;1F455
4D3;1F454
4DB;1F45A
4D5;1F457
7D0;1F3BD
4D0;1F456
4D9;1F458
4DA;1F459
53B;1F4BC
4F0;1F45C
4F1;1F45D
4DC;1F45B
4CE;1F453
50F;1F380
007;1F302
195;1F484
B15;1F49B
B13;1F499
B16;1F49C
B14;1F49A
B0C;2764
B0E;1F494
B11;1F497
B0D;1F493
B0F;1F495
B10;1F496
B18;1F49E
B12;1F498
824;1F48C
823;1F48B
825;1F48D
826;1F48E
19A;1F464
532;1F4AC
553;1F463
4B0;1F3E0
4B1;1F3E1
4BA;1F3EB
4B2;1F3E2
4B3;1F3E3
4B4;1F3E5
4B5;1F3E6
4B9;1F3EA
4B8;1F3E9
4B7;1F3E8
82A;1F492
4BB;26EA
4BD;1F3EC
00C;1F307
00B;1F306
4BE;1F3EF
4BF;1F3F0
7FB;26FA
4C0;1F3ED
4C4;1F5FC
4C7;1F5FE
4C3;1F5FB
009;1F304
00A;1F305
008;1F303
4C6;1F5FD
010;1F309
7FC;1F3A0
7FD;1F3A1
4BC;26F2
7FE;1F3A2
7E8;1F6A2
7EA;26F5
7EE;1F6A4
4C1;2693
7ED;1F680
7E9;2708
537;1F4BA
7EC;1F689
7E2;1F684
7E3;1F685
7E0;1F687
7DF;1F683
7E6;1F68C
7E5;1F699
7E4;1F697
7EF;1F695
7F1;1F69A
7F9;1F6A8
7F4;1F693
7F2;1F692
7F3;1F691
7EB;1F6B2
199;1F488
7E7;1F68F
807;1F3AB
7F7;1F6A5
B23;26A0
7F8;1F6A7
044;1F530
7F5;26FD
4C2;1F3EE
80D;1F3B0
7FA;2668
4C8;1F5FF
806;1F3AA
809;1F3AD
53F;1F4CD
B22;1F6A9
4E5;1F1EF
4EE;1F1F0
4E8;1F1E9
4ED;1F1E8
4E6;1F1FA
4E7;1F1EB
4EB;1F1EA
4E9;1F1EE
4EC;1F1F7
4EA;1F1EC
1B7;1F436
1D0;1F43A
1B8;1F431
1C2;1F42D
1CA;1F439
1D2;1F430
1D7;1F438
1C0;1F42F
1CD;1F428
1C1;1F43B
1BF;1F437
1E0;1F43D
1D1;1F42E
1D5;1F417
1C4;1F435
1CE;1F412
1BE;1F434
1CF;1F411
1CC;1F418
1DF;1F43C
1BC;1F427
1C8;1F426
1BA;1F424
1BB;1F425
1DD;1F423
1D4;1F414
1D3;1F40D
1DC;1F422
1CB;1F41B
1E1;1F41D
1DA;1F41C
1E2;1F41E
1B9;1F40C
1C5;1F419
1C6;1F41A
1C9;1F420
1BD;1F41F
1C7;1F42C
1C3;1F433
7DC;1F40E
1DE;1F432
1D9;1F421
1D6;1F42B
1D8;1F429
1DB;1F43E
828;1F490
040;1F338
03D;1F337
03C;1F340
041;1F339
046;1F33B
045;1F33A
03F;1F341
043;1F343
042;1F342
04E;1F33F
049;1F33E
04B;1F344
048;1F335
047;1F334
04C;1F330
03E;1F331
04D;1F33C
011;1F311
013;1F313
012;1F314
015;1F315
016;1F31B
014;1F319
039;1F30F
03A;1F30B
03B;1F30C
B6A;1F320
B68;2B50
000;2600
00F;26C5
001;2601
004;26A1
002;2614
00E;2744
003;26C4
005;1F300
006;1F301
00D;1F308
038;1F30A
518;1F38D
B17;1F49D
519;1F38E
51B;1F392
51A;1F393
51C;1F38F
515;1F386
51D;1F387
51E;1F390
017;1F391
51F;1F383
1AE;1F47B
513;1F385
512;1F384
510;1F381
521;1F38B
517;1F389
520;1F38A
516;1F388
514;1F38C
4F7;1F52E
801;1F3A5
4EF;1F4F7
4F9;1F4F9
820;1F4FC
81D;1F4BF
81E;1F4C0
53C;1F4BD
53D;1F4BE
538;1F4BB
525;1F4F1
523;260E
524;1F4DE
522;1F4DF
528;1F4E0
531;1F4E1
81C;1F4FA
81F;1F4FB
821;1F50A
4F2;1F514
52F;1F4E2
530;1F4E3
01B;23F3
01C;231B
02A;23F0
01D;231A
B87;1F513
B86;1F512
B90;1F50F
B8A;1F510
B82;1F511
B8D;1F50E
B56;1F4A1
4FB;1F526
4FE;1F50C
4FC;1F50B
B85;1F50D
505;1F6C0
507;1F6BD
4C9;1F527
4CB;1F529
4CA;1F528
4F3;1F6AA
B1E;1F6AC
B58;1F4A3
4F5;1F52B
4FA;1F52A
50A;1F48A
509;1F489
4DD;1F4B0
4E2;1F4B4
4E3;1F4B5
4E1;1F4B3
4E4;1F4B8
526;1F4F2
B92;1F4E7
534;1F4E5
533;1F4E4
529;2709
52B;1F4E9
52A;1F4E8
52D;1F4EB
52C;1F4EA
52E;1F4EE
535;1F4E6
527;1F4DD
541;1F4C4
540;1F4C3
552;1F4D1
54A;1F4CA
54B;1F4C8
54C;1F4C9
4FD;1F4DC
548;1F4CB
542;1F4C5
549;1F4C6
54D;1F4C7
543;1F4C1
544;1F4C2
53E;2702
54E;1F4CC
53A;1F4CE
536;2712
539;270F
550;1F4CF
551;1F4D0
502;1F4D5
